;GHI
2714;0
2715;0
2716;0
2717;0
2718;0
2719;164
2720;406
2721;565
2722;789
2723;909
2724;952
2725;933
2726;83
2727;319
2728;338
2729;148
2730;0
2731;0
2732;0
2733;0
2734;0
2735;0
2736;0
2737;0
2738;0
2739;0
2740;0
2741;0
2742;0
2743;109
2744;224
2745;438
2746;747
2747;787
2748;933
2749;801
2750;779
2751;624
2752;357
2753;156
2754;0
2755;0
2756;0
2757;0
2758;0
2759;0
2760;0
2761;0
2762;0
2763;0
2764;0
2765;0
2766;0
2767;139
2768;334
2769;599
2770;546
2771;849
2772;853
2773;694
2774;690
2775;302
2776;102
2777;83
2778;0
2779;0
2780;0
2781;0
2782;0
2783;0
2784;0
2785;0
2786;0
2787;0
2788;0
2789;0
2790;0
2791;162
2792;402
2793;634
2794;812
2795;920
2796;987
2797;888
2798;777
2799;617
2800;401
2801;154
2802;0
2803;0
2804;0
2805;0
2806;0
2807;0
2808;0
2809;0
2810;0
2811;0
2812;0
2813;0
2814;0
2815;161
2816;401
2817;629
2818;689
2819;848
2820;862
2821;929
2822;817
2823;621
2824;396
2825;150
2826;0
2827;0
2828;0
2829;0
2830;0
2831;0
2832;0
2833;0
2834;0
2835;0
2836;0
2837;0
2838;0
2839;156
2840;393
2841;570
2842;781
2843;796
2844;763
2845;579
2846;299
2847;558
2848;375
2849;128
2850;0
2851;0
2852;0
2853;0
2854;0
2855;0
2856;0
2857;0
2858;0
2859;0
2860;0
2861;0
2862;0
2863;156
2864;396
2865;601
2866;752
2867;799
2868;866
2869;815
2870;390
2871;237
2872;391
2873;141
2874;0
2875;0
2876;0
2877;0
2878;0
2879;0
2880;0
2881;0
2882;0
2883;0
2884;0
2885;0
2886;0
2887;156
2888;401
2889;626
2890;784
2891;907
2892;954
2893;903
2894;785
2895;602
2896;389
2897;144
2898;0
2899;0
2900;0
2901;0
2902;0
2903;0
2904;0
2905;0
2906;0
2907;0
2908;0
2909;0
2910;0
2911;153
2912;399
2913;620
2914;794
2915;909
2916;951
2917;900
2918;782
2919;609
2920;386
2921;145
2922;0
2923;0
2924;0
2925;0
2926;0
2927;0
2928;0
2929;0
2930;0
2931;0
2932;0
2933;0
2934;0
2935;157
2936;396
2937;618
2938;796
2939;906
2940;953
2941;887
2942;518
2943;513
2944;266
2945;110
2946;0
2947;0
2948;0
2949;0
2950;0
2951;0
2952;0
2953;0
2954;0
2955;0
2956;0
2957;0
2958;0
2959;156
2960;394
2961;619
2962;789
2963;903
2964;893
2965;693
2966;571
2967;504
2968;219
2969;135
2970;0
2971;0
2972;0
2973;0
2974;0
2975;0
2976;0
2977;0
2978;0
2979;0
2980;0
2981;0
2982;0
